taxonomy,code,name,stratum,label_A,label_B,note_A,note_B,adjudicated,adjudication_note
us-gaap,AccountsReceivableGrossCurrent,"Accounts Receivable, before Allowance for Credit Loss, Current",tail/seen,asset.current.receivables,,trade receivables before allowance,gross before allowance; net already maps (R3),,"The node is a CARRYING-AMOUNT concept (ifrs_tag PropertyPlantAndEquipment / TradeAndOtherCurrentReceivables) and the net variant already maps to it. Kontablo's core has no contra-asset leaf, so a gross measure has no partner account; mapping both gross and net to one leaf would double-count the same asset. Documented core gap: no contra-asset representation. Ruled with B."
us-gaap,AccruedIncomeTaxesNoncurrent,"Accrued Income Taxes, Noncurrent",mid/seen,liability.current.tax,,"R3 tier: income tax payable concept, noncurrent portion",non-current tax liability; tax node is current only,,"P1: the tag explicitly asserts the opposite balance-sheet tier from the only candidate node. Kontablo encodes the tier in the node id and derives working capital from it, so mapping across the split would corrupt current/non-current subtotals silently -- the class of error H4 exists to catch. Documented core gap: no node for this tier of this concept. Ruled with B."
us-gaap,AccruedLiabilitiesAndOtherLiabilities,Accrued Liabilities and Other Liabilities,mid/seen,liability.current.accrued,,accrued dominant in composite line,combined accrued + undifferentiated other (R2),,P3: a combined caption whose contents provably extend beyond the node's boundary does not denote the node; the excess has no leaf. Ruled with B.
us-gaap,AdjustmentsForCurrentTaxOfPriorPeriod,Adjustments for current tax of prior periods,tail/unseen,expense.tax,,R6 prior-period component of current tax expense,prior-period tax true-up disclosure; no node,expense.tax,"IAS 12.80(b) lists 'adjustments recognised in the period for current tax of prior periods' as a COMPONENT of tax expense, not a rate-reconciliation percentage. A component of the period's income tax expense denotes expense.tax. Ruled with A."
us-gaap,AgriculturalRelatedInventoryGrowingCrops,"Agricultural Related Inventory, Growing Crops",tail/unseen,asset.current.inventory,,growing crops classified as inventory,"growing crops = biological assets, a pending_account (R4)",,"Growing crops are biological assets (IAS 41), which level3_accounts.yaml deliberately parks in `pending_accounts` rather than the core. Mapping them to inventory would contradict the ontology's own explicit deferral. Ruled with B."
us-gaap,AssetRetirementObligationAccretionExpense,"Asset Retirement Obligation, Accretion Expense",mid/seen,expense.interest,,unwinding of discount is a finance cost (IAS 37.60),accretion of an ARO provision Kontablo does not model,expense.interest,"IAS 37.60 requires the increase in a discounted provision from the passage of time to be recognised as a BORROWING COST, and the node is ifrs-full:FinanceCosts. Grounded in a citable standard rather than in US presentation practice (which often shows accretion in operating expense). Ruled with A."
us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,"Business Combination, Recognized Asset Acquired, Asset",tail/seen,AGGREGATE:asset,,total identifiable assets acquired,"acquisition-date disclosure, not a ledger balance",,"Purchase-price-allocation disclosure: an amount recognised AT the acquisition date, i.e. a transaction event, not a period-end ledger balance. A balance is an account, a movement is not. Ruled with B."
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,"Cash, Cash Equivalents, Restricted Cash, and Restricted Cash Equivalents, Disposal Group, Including Discontinued Operations",mid/seen,asset.current.cash,,cash balance scoped to a disposal group,restricted cash + disposal group; breaks cash definition,,"The tag bundles RESTRICTED cash into the total. asset.current.cash is defined as cash available for unrestricted use, and the core has no restricted-cash leaf, so the total is neither the cash node nor a rollup of existing leaves (P4). Notable because this is the most common cash element in US filings. Ruled with B."
us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,"Cash, Cash Equivalents, Restricted Cash, and Restricted Cash Equivalents, Including Disposal Group and Discontinued Operations",head/seen,asset.current.cash,,cash balance; includes restricted cash,includes restricted cash + disposal group; breaks cash definition,,"The tag bundles RESTRICTED cash into the total. asset.current.cash is defined as cash available for unrestricted use, and the core has no restricted-cash leaf, so the total is neither the cash node nor a rollup of existing leaves (P4). Notable because this is the most common cash element in US filings. Ruled with B."
us-gaap,CurrentAssetsRecognisedAsOfAcquisitionDate,Current assets recognised as of acquisition date,tail/unseen,AGGREGATE:asset.current,,total current assets acquired,"acquisition-date disclosure, not a ledger balance",,"Purchase-price-allocation disclosure: an amount recognised AT the acquisition date, i.e. a transaction event, not a period-end ledger balance. A balance is an account, a movement is not. Ruled with B."
us-gaap,CurrentFinancialLiabilitiesAtAmortisedCost,Current financial liabilities at amortised cost,tail/seen,AGGREGATE:liability.current,,measurement-category subtotal spanning current liability leaves,measurement-category grouping spanning payables and borrowings,AGGREGATE:liability.current,"P4 is satisfied: this measurement-category subtotal spans liability.current.payables and liability.current.short_term_debt, both of which ARE core leaves, so Kontablo can recompute it. The rollup axis is measurement category rather than tier, which is exactly what a multi-lens graph is supposed to support. Ruled with A."
