kontablo_level3_id,kontablo_uuid,label_en,ifrs_tag,nature,mx_sat,co_puc,pa_dgi,br_cosif,ar_pcga,ve,us_gaap,ca_gaap,uk_gaap,de_hgb,fr_pcg,es_pgc,ru_ras,il_gaap,in_ind_as,jp_jgaap,cn_cas,ae_ifrs,ng_ifrs,sa_socpa,tr_tas,vn_vas,za_ifrs,notes
asset.current.cash,00000000-0000-4000-8000-000000000101,Cash and Cash Equivalents,CashAndCashEquivalents,debit,101,1105,1.1.01,1.1.1.1.01-9,1100,101,Cash,Cash,Cash,1000,512,572,57,50,1000,111,Cash,Cash,101,102,1000,111,Cash and Bank,"Universal. VE: apply IAS 29 adjustment"
asset.current.bank,00000000-0000-4000-8000-000000000102,Bank Deposits,CashAndCashEquivalents,debit,102,1110,1.1.02,1.1.1.1.02-0,1120,102,Cash,Cash,Bank,1200,512,572,51,51,1010,112,Bank,Bank,101,102,1010,112,Bank Deposits,"Often merged with cash in IFRS taxonomy"
asset.current.receivables,00000000-0000-4000-8000-000000000104,Trade Receivables,TradeAndOtherCurrentReceivables,debit,105,1305,1.1.05,1.1.1.2.01-0,1130,105,Accounts Receivable,AR,Debtors,1300,411,430,62,1300,1300,131,AR,AR,105,131,1300,131,Trade Debtors,"CN: requires aging disclosure"
asset.current.vat_input,10000000-0000-4000-8000-000000000001,Input VAT Recoverable,CurrentTaxAssetsCurrent,debit,1331_mx,2408,1.1.12,1900,1550,N/A,N/A,N/A,VAT Reclaim,Vorsteuer,445660,472,68.2,VAT,GST Input,Shouhizei,进项税额,VAT,VAT Input,N/A,Deferred VAT,1331,VAT,"Not applicable in US (no VAT) or SA (Zakat-based)"
asset.current.inventory,00000000-0000-4000-8000-000000000106,Inventory,CurrentInventories,debit,151,1430,1.1.08,1.1.1.3.01-0,1310,151,Inventory,Inventory,Stocks,3100,371,300-301,41,370,1310,141,Inventory,Inventory,151,152,1310,152,Raw Materials,"Service firms: N/A"
asset.current.prepaid,20000000-0000-4000-8000-000000000001,Prepaid Expenses,CurrentPrepayments,debit,122,1110,1.1.10,1.1.1.2.07-0,1230,122,Prepaid Exp,Prepaid,Prepayments,970,488,480,97,1150,1220,121,Prepaid,Prepaid,122,121,1220,121,Prepayments,""
asset.noncurrent.ppe,00000000-0000-4000-8000-000000000110,Property Plant & Equipment,PropertyPlantAndEquipment,debit,181,1516,2.1.01,1.2.1.2.01-5,2100,181,PP&E,PP&E,Fixed Assets,2100,211,210,01,2100,2100,211,PPE,PPE,181,211,2100,211,Property Plant Equipment,""
asset.noncurrent.rou_assets,30000000-0000-4000-8000-000000000001,Right-of-Use Assets (IFRS 16),RightOfUseAssets,debit,N/A_ifrs16,N/A,N/A,N/A,N/A,N/A,Operating Lease ROU,ROU Asset,ROU Asset,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ROU,ROU,N/A,ROU,N/A,ROU Assets,"Only post-IFRS 16 (2019). Many developing markets still not implemented"
asset.noncurrent.intangibles,20000000-0000-4000-8000-000000000002,Intangible Assets,IntangibleAssetsOtherThanGoodwill,debit,191,1630,2.2.01,1.2.3.1.01-0,2300,191,Intangibles,Intangibles,Intangibles,2800,206,200,04,2300,2300,191,Intangibles,Intangibles,191,213,2300,213,Intangible Assets,""
asset.noncurrent.goodwill,20000000-0000-4000-8000-000000000003,Goodwill,Goodwill,debit,3001,N/A,N/A,1.2.3.9.01-0,2380,N/A,Goodwill,Goodwill,Goodwill,2900,207,207,04,2380,2380,1010,Goodwill,Goodwill,N/A,N/A,N/A,N/A,Goodwill,"Not always recognized under local GAAP (VE excluded)"
asset.noncurrent.investments,00000000-0000-4000-8000-000000000108,Long-term Investments,InvestmentsAccountedForUsingEquityMethod,debit,161,1105,2.3.01,1.2.1.1.01-0,2200,161,Investments,LT Investments,Investments,2000,261,250,58,2200,2200,221,LT Invest,LT Invest,161,221,2200,221,Long-term Investments,""
liability.current.payables,00000000-0000-4000-8000-000000000201,Trade Payables,TradeAndOtherCurrentPayables,credit,201,2205,3.1.01,2.1.1.2.01-5,2100,201,Accounts Payable,AP,Creditors,3300,401,400,60,2100,2100,331,AP,AP,201,331,2100,331,Trade Creditors,""
liability.current.vat_output,00000000-0000-4000-8000-000000000203,Output VAT Payable,CurrentTaxLiabilitiesCurrent,credit,2030,2408,3.1.06,2.1.2.3,2490,N/A,N/A,N/A,VAT Payable,Umsatzsteuer,445710,477,68.2,VAT Out,GST Output,Shouhizei,销项税额,VAT Out,VAT Output,Zakat,VAT Output,3331,VAT,"SA: substitute Zakat calculation"
liability.current.tax,00000000-0000-4000-8000-000000000205,Income Tax Payable,CurrentTaxLiabilitiesCurrent,credit,2030,2404,3.1.05,2.1.2.1.01-5,2560,2030,Tax Payable,CIT Payable,Corp Tax,3600,444,447,68.4,2110,2110,3334,Tax,Tax,2030,3334,2110,3334,Income Tax Payable,"Rates: US 21%, MX 30%, BR 34%, CN 25%, VN 20%, SA Zakat-based"
liability.current.accrued,00000000-0000-4000-8000-000000000207,Accrued Liabilities,OtherCurrentProvisions,credit,270,2610,3.1.08,2.1.2.3,2570,270,Accrued Liab,Accrued Liab,Accruals,3900,421,515,96,2400,2400,341,Accrued,Accrued,270,333,2400,333,Accrued Expenses,""
liability.current.short_term_debt,00000000-0000-4000-8000-000000000209,Short-term Borrowings,CurrentBorrowings,credit,211,2105,3.1.03,2.1.1.4.01-0,2140,211,Notes Payable,STD,Bank OD,3500,519,512,66,2200,2200,311,STD,STD,211,311,2200,311,Short-term Debt,""
liability.noncurrent.debt,00000000-0000-4000-8000-000000000211,Long-term Debt,OtherNonCurrentFinancialLiabilities,credit,311,2605,4.1.01,2.2.1.4.01-0,2270,311,LT Debt,LTD,LT Loans,3200,162,163,67,2300,2300,311,LTD,LTD,311,311,2300,311,Long-term Borrowings,""
liability.noncurrent.lease,30000000-0000-4000-8000-000000000002,Lease Liabilities (IFRS 16),OtherNonCurrentFinancialLiabilities,credit,N/A,N/A,N/A,N/A,N/A,N/A,Finance Lease,Lease Liab,Finance Lease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lease,Lease,N/A,Lease,N/A,Lease Liab,"IFRS 16 post-2019 only"
liability.noncurrent.deferred_tax,00000000-0000-4000-8000-000000000213,Deferred Tax Liability,DeferredTaxLiabilities,credit,311,2410,4.1.04,2.2.2.1.01-5,2980,N/A,Deferred Tax,DTL,Deferred Tax,3600,154,N/A,77,N/A,N/A,313,DTL,DTL,311,N/A,N/A,N/A,Deferred Tax Liab,"VN: no deferred tax concept in VAS"
equity.capital,00000000-0000-4000-8000-000000000008,Paid-in Capital,IssuedCapital,credit,300,3105,5.1.01,6.1.1.1.01-0,2101,300,Common Stock,Common Stock,Share Capital,2900,101,100,80,2900,Share Capital,411,Share Capital,Share Capital,300,411,Share Capital,411,Issued Capital,"VN: Charter Capital (Vốn điều lệ)"
equity.retained,00000000-0000-4000-8000-000000000009,Retained Earnings,RetainedEarnings,credit,305,3305,5.1.05,6.3.1.1.01-5,3500,305,Retained Earnings,RE,Retained Profit,800,110,110,84,3500,RE,421,RE,RE,305,421,RE,421,Accumulated Profit,"VE: restated for inflation under IAS 29"
equity.reserves,00000000-0000-4000-8000-000000000010,Other Reserves,OtherReserves,credit,320,3205,5.1.10,6.1.4.1.01-5,2900,320,APIC/Reserves,Reserves,Reserves,2900,104,104,82,2900,Reserves,421,Reserves,Reserves,320,421,Reserves,421,Statutory Reserves,"RU: mandatory legal reserve 5% of capital"
revenue.operating,00000000-0000-4000-8000-000000000301,Operating Revenue,Revenue,credit,401,4135,6.1.01,7.1.1.1.01-0,4100,401,Net Sales,Revenue,Turnover,4000,701,700,90,4100,Revenue,511,Revenue,Revenue,401,511,Revenue,511,Revenue from Operations,""
revenue.other,00000000-0000-4000-8000-000000000303,Other Income,OtherIncome,credit,490,4805,6.3.01,7.2.2.1.01-5,5100,490,Other Income,Other Inc,Other Income,4000,758,758,91,5100,Other Income,515,Other Inc,Other Inc,490,515,Other Inc,515,Miscellaneous Income,""
expense.cogs,00000000-0000-4000-8000-000000000404,Cost of Goods Sold,CostOfSales,debit,501,6105,7.1.01,8.1.1.1.01-0,5100,501,COGS,COGS,COS,5000,607,600,90,5100,COGS,632,COGS,COGS,501,632,COGS,632,Cost of Sales,"Service firms: N/A or 0"
expense.admin,00000000-0000-4000-8000-000000000501,General & Administrative,AdministrativeExpenses,debit,504,5205,7.2.01,8.3.1.1.01-0,5300,504,SG&A,G&A,Admin,6000,627,621,26,5300,Admin Exp,642,G&A,G&A,504,642,G&A,642,Administrative Expenses,""
expense.depreciation,00000000-0000-4000-8000-000000000503,Depreciation & Amortization,DepreciationAndAmortisationExpense,debit,506,5310,7.2.05,8.3.2.2.01-5,5400,506,D&A,D&A,Depreciation,6000,681,681,02,5400,Depreciation,214,D&A,D&A,506,214,D&A,214,Depreciation Expense,""
expense.interest,00000000-0000-4000-8000-000000000505,Finance Costs,FinanceCosts,debit,509,5210,7.4.01,8.3.4.2.01-0,5100,509,Interest Exp,Interest,Finance Costs,7000,661,661,91,5100,Finance Costs,635,Finance Cost,Finance Cost,509,635,Finance Cost,635,Interest Expense,"VN: account 635 includes FX losses"
expense.tax,00000000-0000-4000-8000-000000000507,Income Tax Expense,TaxIncomeExpense,debit,510,5410,7.5.01,8.3.5.1.01-5,5900,510,Income Tax,CIT,Corp Tax,7000,695,695,99,5900,Tax Exp,821,CIT,CIT,510,821,CIT,821,Income Tax Expense,""
expense.fx_loss,40000000-0000-4000-8000-000000000001,Foreign Exchange Losses,OtherExpense,debit,509,5105,7.4.03,8.3.4.1.01-0,8300,509,FX Loss,FX Loss,FX Loss,6800,665,666,91,5100,FX Loss,635,FX Loss,FX Loss,509,635,FX Loss,635,Exchange Rate Loss,"VE critical: must track USD/VES rates"
